accident_severity,total_count_train,outliers_count_train,percentage_outliers_train,total_count_test,outliers_count_test,percentage_outliers_test
1,670.0,520.5555555555555,77.80627038731129,221.33333333333334,190.0,85.91078887971241
2,9075.444444444445,6222.444444444444,68.52553729955326,3105.8888888888887,2428.222222222222,78.17722633917043
3,56883.11111111111,34954.666666666664,61.568141779277184,17853.555555555555,12946.111111111111,72.63970054205726
