STATUS_IGUN,HUMRAT_TEUNA,count,normalized_count
1.0,1,769,0.008203979303355204
1.0,2,6794,0.07248093028217849
1.0,3,56976,0.6078412546007361
2.0,1,23,0.00024537259294820507
2.0,2,535,0.005707579879447379
2.0,3,2360,0.025177361711207127
3.0,1,326,0.0034778897957006456
3.0,2,3282,0.03501360217634822
3.0,3,22670,0.24185202965807862
