HUMRAT_TEUNA,total_count_train,outliers_count_train,percentage_outliers_train,total_count_test,outliers_count_test,percentage_outliers_test
1,158.11111111111111,61.333333333333336,38.850250672525505,53.44444444444444,25.444444444444443,47.86942164903488
2,1353.0,517.5555555555555,38.701832766999125,500.55555555555554,252.22222222222223,50.64060341332753
3,12204.666666666666,3844.222222222222,31.49712497219119,3934.222222222222,1737.2222222222222,44.17341652181287
4,13710.888888888889,5494.777777777777,40.06025659018355,5171.888888888889,2763.6666666666665,53.58878956041781
