attribute,attribute_majority_vote,clusters_count,clusters_percent,Consistent Severity,Improved Safety,Severe Turnaround,Stable Safety,severe_turnaround_probability,consistent_severe_probability,Accidents Percentage
PNE_KVISH,dry,2395.89,86.7,103.67,600.22,132.0,1560.0,7.84,14.65,51.25
PNE_KVISH,fuel on road,1.83,0.07,0.0,0.0,0.0,1.83,0.0,,26.39
PNE_KVISH,other,2.6,0.09,0.0,0.2,0.2,2.2,6.67,0.0,22.26
PNE_KVISH,sand or gravel on road,1.2,0.04,0.0,0.0,0.0,1.2,0.0,,35.91
PNE_KVISH,unknown,339.44,12.09,0.56,8.0,10.78,320.11,2.85,4.36,100.0
PNE_KVISH,wet from water ,30.44,1.1,0.22,5.67,1.78,22.78,6.68,3.79,27.43
RAMZOR,no,895.67,32.76,22.67,186.0,43.33,643.67,6.53,10.83,41.76
RAMZOR,unknown,912.56,32.44,11.56,150.67,33.44,716.89,4.15,6.62,100.0
RAMZOR,yes,960.89,34.8,70.22,277.33,67.89,545.44,11.19,20.08,49.95
RAV_MASLUL,built divider no fence ,1107.0,40.17,57.78,295.44,67.78,686.0,9.09,16.2,33.82
RAV_MASLUL,fenced divider ,325.11,11.72,24.33,102.11,19.89,178.78,10.04,19.54,25.31
RAV_MASLUL,other ,29.11,1.03,1.56,7.33,2.0,18.22,9.53,15.03,17.38
RAV_MASLUL,painted divider ,122.44,4.53,4.89,30.67,5.78,81.11,6.97,13.5,18.28
RAV_MASLUL,unbuilt divier ,13.56,0.46,0.56,2.33,0.67,10.0,5.3,9.17,19.63
RAV_MASLUL,unknown,1171.89,42.1,15.33,176.11,48.56,931.89,4.79,7.33,100.0
ROHAV,10.5 to 14 meters ,139.11,5.04,9.0,36.56,8.0,85.56,8.47,19.11,26.91
ROHAV,5 to 7 meters ,981.44,35.4,32.67,230.33,52.67,665.78,7.32,12.28,32.54
ROHAV,7 to10.5 meters,975.56,35.34,53.44,273.67,58.0,590.44,9.01,16.17,34.45
ROHAV,above 14 metesr ,43.67,1.57,3.33,11.89,3.33,25.11,11.47,24.11,27.42
ROHAV,unknown,412.33,14.66,1.11,13.22,14.0,384.0,3.08,5.85,100.0
ROHAV,up to 5 meters ,217.0,8.0,4.89,48.33,8.67,155.11,5.72,9.42,25.18
SIMUN_TIMRUR,bad or missing markings ,40.67,1.49,0.89,9.0,1.89,28.89,6.55,7.22,25.47
SIMUN_TIMRUR,bad or missing signs ,15.56,0.55,0.22,2.44,0.89,12.0,8.69,8.75,22.7
SIMUN_TIMRUR,no deficiency,2319.22,83.9,102.44,586.78,129.44,1500.56,7.97,14.78,50.6
SIMUN_TIMRUR,no signs needed,45.67,1.64,0.44,6.56,1.56,37.11,4.31,5.63,30.0
SIMUN_TIMRUR,unknown,348.0,12.42,0.44,9.22,10.89,327.44,2.89,3.3,100.0
STATUS_IGUN,exact location ,2769.11,100.0,104.44,614.0,144.67,1906.0,7.02,14.45,100.0
SUG_DEREH,urban intersection,1857.67,67.49,84.11,432.56,108.22,1232.78,8.17,16.22,90.66
SUG_DEREH,urban non intersection,911.44,32.51,20.33,181.44,36.44,673.22,4.87,9.68,87.07
SUG_EZEM,barrel ,1.0,0.04,0.0,0.0,0.0,1.0,0.0,,30.55
SUG_EZEM,bridge structure ,1.0,0.03,0.33,0.67,0.0,0.0,,33.33,23.33
SUG_EZEM,other ,58.67,2.14,3.89,14.22,3.0,37.56,7.36,20.22,14.02
SUG_EZEM,post,102.89,3.78,6.78,32.56,5.44,58.11,8.64,17.12,11.19
SUG_EZEM,safety fence ,44.0,1.61,2.89,13.67,2.33,25.11,9.41,17.92,11.39
SUG_EZEM,sign post ,57.44,2.12,3.33,18.44,3.67,32.0,10.75,17.63,10.6
SUG_EZEM,structure ,27.11,0.99,1.11,5.78,1.11,19.11,5.86,14.35,15.83
SUG_EZEM,tree,39.0,1.42,2.11,12.67,1.89,22.33,8.28,16.29,12.16
SUG_EZEM,unknown,2439.33,87.93,84.22,516.44,127.22,1711.44,6.85,13.76,100.0
SUG_TEUNA,back to front ,2.14,0.08,0.0,0.14,0.0,2.0,0.0,0.0,61.41
SUG_TEUNA,back to side,1.0,0.04,0.0,0.0,0.0,1.0,0.0,,55.0
SUG_TEUNA,falling from moving vehicle ,2.88,0.1,0.0,0.12,0.0,2.75,0.0,0.0,49.52
SUG_TEUNA,flipped over ,1.88,0.06,0.0,0.75,0.12,1.0,8.33,0.0,44.54
SUG_TEUNA,front to back,524.56,18.74,16.56,85.56,29.56,392.89,6.66,15.31,52.15
SUG_TEUNA,front to front,6.44,0.23,0.11,1.67,0.33,4.33,10.56,7.14,52.89
SUG_TEUNA,front to side ,1172.0,42.89,49.33,244.78,66.67,811.22,7.86,16.74,59.65
SUG_TEUNA,impact with object ,8.11,0.3,0.11,2.67,0.11,5.22,1.23,3.7,49.03
SUG_TEUNA,impact with parked vehicle ,3.11,0.11,0.0,0.33,0.22,2.56,6.48,0.0,46.82
SUG_TEUNA,impact with unparked stoped vehicle ,1.33,0.05,0.0,0.0,0.0,1.33,0.0,,33.33
SUG_TEUNA,individual inside car hit ,15.11,0.54,0.67,3.78,0.56,10.11,4.54,17.02,44.33
SUG_TEUNA,other ,13.33,0.49,0.0,2.0,0.67,10.67,6.01,0.0,49.79
SUG_TEUNA,pedestrian impact ,867.67,31.09,33.0,243.33,39.44,551.89,6.56,11.97,47.45
SUG_TEUNA,side to side,102.67,3.6,3.56,21.0,4.89,73.22,6.0,12.54,45.67
SUG_TEUNA,slipped,49.11,1.75,1.11,8.0,2.11,37.89,4.76,12.93,47.61
SUG_YOM,holiday,4.33,0.15,0.0,0.89,0.11,3.33,2.78,0.0,46.72
SUG_YOM,holiday eve,4.44,0.16,0.11,0.89,0.22,3.22,5.93,8.33,42.67
SUG_YOM,other day,2757.56,99.58,104.33,611.67,144.22,1897.33,7.03,14.49,94.87
SUG_YOM,semi-holiday,3.12,0.12,0.0,0.62,0.12,2.38,3.57,0.0,57.58
TEURA,day unknown,1082.89,38.59,34.22,180.56,57.78,810.33,6.24,15.57,60.54
TEURA,"limited visibility due to weather (smoke, mist)",1.0,0.03,0.0,1.0,0.0,0.0,,0.0,33.33
TEURA,"night, lights on",198.89,7.3,7.89,55.0,10.56,125.44,8.04,12.62,47.88
TEURA,"night, no light",1.0,0.04,0.0,0.0,0.0,1.0,0.0,,36.11
TEURA,"night, unknown light",241.78,8.69,6.0,37.22,11.78,186.78,5.88,13.99,50.51
TEURA,partial or no light,1.33,0.05,0.0,0.5,0.0,0.83,0.0,0.0,33.33
TEURA,regular daylight,1244.22,45.38,56.33,340.78,64.56,782.56,7.83,14.23,52.1
THUM_GEOGRAFI,Israel wo occupied territories,2769.11,100.0,104.44,614.0,144.67,1906.0,7.02,14.45,100.0
TKINUT,bad road,3.89,0.14,0.0,0.78,0.0,3.11,0.0,0.0,21.93
TKINUT,bad shoulders,1.4,0.05,0.2,0.0,0.2,1.0,10.0,100.0,27.52
